"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2014","155.83","156.74","157.64","155.80","28.84K","-0.33%"
"Jan 04, 2015","157.62","156.71","160.48","154.40","63.08K","1.15%"
"Jan 11, 2015","158.95","158.00","160.48","153.90","76.27K","0.84%"
"Jan 18, 2015","167.20","159.52","169.05","158.30","60.80K","5.19%"
"Jan 25, 2015","162.45","167.40","170.60","160.30","72.88K","-2.84%"
"Feb 01, 2015","167.09","161.82","167.13","159.44","123.90K","2.86%"
"Feb 08, 2015","167.91","165.24","171.38","164.90","86.87K","0.49%"
"Feb 15, 2015","168.97","167.81","169.90","167.37","110.26K","0.63%"
"Feb 22, 2015","172.44","168.10","172.85","168.10","83.78K","2.05%"
"Mar 01, 2015","175.64","172.55","176.59","171.65","110.72K","1.86%"
"Mar 08, 2015","178.17","174.73","180.97","173.79","130.47K","1.44%"
"Mar 15, 2015","179.25","178.90","180.96","178.10","133.51K","0.61%"
"Mar 22, 2015","172.99","180.63","180.63","169.86","180.12K","-3.49%"
"Mar 29, 2015","174.47","175.14","178.90","173.88","187.34K","0.86%"
"Apr 05, 2015","181.58","174.90","182.00","174.81","140.06K","4.08%"
"Apr 12, 2015","177.38","181.81","184.40","177.10","180.34K","-2.31%"
"Apr 19, 2015","178.86","177.78","183.64","177.78","222.95K","0.83%"
"Apr 26, 2015","172.38","179.40","180.08","171.44","200.42K","-3.62%"
"May 03, 2015","173.01","172.38","175.67","166.58","469.27K","0.37%"
"May 10, 2015","170.52","173.65","174.53","168.79","123.77K","-1.44%"
"May 17, 2015","177.37","170.60","178.02","170.60","107.41K","4.02%"
"May 24, 2015","176.88","177.30","179.78","176.92","58.06K","-0.28%"
"May 31, 2015","173.50","177.94","178.21","170.42","77.65K","-1.91%"
"Jun 07, 2015","171.41","172.63","173.76","168.78","94.54K","-1.20%"
"Jun 14, 2015","172.20","175.64","175.64","169.02","126.98K","0.46%"
"Jun 21, 2015","174.03","171.71","175.70","171.71","86.47K","1.06%"
"Jun 28, 2015","172.24","172.58","173.72","169.94","61.44K","-1.03%"
"Jul 05, 2015","171.38","171.80","175.53","170.60","96.87K","-0.50%"
"Jul 12, 2015","180.19","172.05","180.38","171.29","76.22K","5.14%"
"Jul 19, 2015","175.76","180.80","181.54","175.64","87.56K","-2.46%"
"Jul 26, 2015","176.33","178.59","178.59","171.52","63.45K","0.32%"
"Aug 02, 2015","174.60","176.58","179.33","174.60","98.12K","-0.98%"
"Aug 09, 2015","173.03","174.46","176.72","169.42","117.64K","-0.90%"
"Aug 16, 2015","162.72","174.84","176.01","162.71","31.35K","-5.96%"
"Aug 23, 2015","163.81","155.91","163.81","148.30","189.33K","0.67%"
"Aug 30, 2015","160.10","162.84","165.26","157.39","105.84K","-2.26%"
"Sep 06, 2015","158.71","161.16","165.23","158.68","69.44K","-0.87%"
"Sep 13, 2015","160.53","160.48","163.41","158.99","40.45K","1.15%"
"Sep 20, 2015","160.89","160.19","163.48","156.55","52.75K","0.22%"
"Sep 27, 2015","156.99","160.45","161.07","153.75","105.31K","-2.42%"
"Oct 04, 2015","164.35","156.99","165.28","156.99","103.72K","4.69%"
"Oct 11, 2015","165.24","164.45","165.50","161.53","55.95K","0.54%"
"Oct 18, 2015","173.93","165.30","174.50","164.82","99.94K","5.26%"
"Oct 25, 2015","175.53","173.45","177.02","172.41","65.44K","0.92%"
"Nov 01, 2015","180.16","177.00","181.49","174.00","109.95K","2.64%"
"Nov 08, 2015","175.57","180.29","181.10","174.90","142.30K","-2.55%"
"Nov 15, 2015","182.42","174.14","182.42","174.14","86.24K","3.90%"
"Nov 22, 2015","183.31","182.49","183.81","180.18","85.11K","0.49%"
"Nov 29, 2015","177.01","183.08","184.90","174.23","96.82K","-3.44%"
"Dec 06, 2015","170.81","178.94","180.06","170.59","117.65K","-3.50%"
"Dec 13, 2015","173.16","171.00","178.31","167.98","66.82K","1.38%"
"Dec 20, 2015","175.75","171.90","175.75","170.54","192.48K","1.50%"
"Dec 27, 2015","176.67","175.40","176.84","173.25","97.79K","0.52%"
"Jan 03, 2016","164.81","179.12","179.12","164.81","230.16K","-6.71%"
"Jan 10, 2016","160.70","168.00","168.00","158.51","167.39K","-2.49%"
"Jan 17, 2016","162.99","160.33","164.00","155.74","433.59K","1.43%"
"Jan 24, 2016","164.79","163.59","164.79","159.24","99.51K","1.10%"
"Jan 31, 2016","157.48","165.98","165.98","157.48","88.07K","-4.44%"
"Feb 07, 2016","154.28","157.84","157.84","148.30","213.89K","-2.03%"
"Feb 14, 2016","160.63","156.63","162.55","156.63","261.06K","4.12%"
"Feb 21, 2016","166.62","162.87","167.38","159.76","266.64K","3.73%"
"Feb 28, 2016","169.51","164.71","171.00","164.23","120.26K","1.73%"
"Mar 06, 2016","168.59","169.64","172.72","165.76","132.23K","-0.54%"
"Mar 13, 2016","169.68","169.52","170.30","165.94","88.64K","0.65%"
"Mar 20, 2016","169.30","169.51","171.45","169.15","78.07K","-0.22%"
"Mar 27, 2016","169.50","170.40","170.94","167.25","130.74K","0.12%"
"Apr 03, 2016","167.92","170.19","170.91","167.68","121.08K","-0.93%"
"Apr 10, 2016","172.31","167.59","173.74","166.47","80.22K","2.61%"
"Apr 17, 2016","173.18","170.95","174.53","170.95","83.86K","0.50%"
"Apr 24, 2016","167.69","173.73","173.82","167.69","154.83K","-3.17%"
"May 01, 2016","167.37","168.48","168.80","166.32","86.96K","-0.19%"
"May 08, 2016","171.27","168.74","170.91","168.64","99.56K","2.33%"
"May 15, 2016","171.76","169.59","171.64","168.93","65.26K","0.29%"
"May 22, 2016","176.37","171.05","176.30","170.65","203.03K","2.68%"
"May 29, 2016","172.94","177.30","177.35","172.47","48.51K","-1.94%"
"Jun 05, 2016","174.70","173.14","176.97","173.14","196.13K","1.02%"
"Jun 12, 2016","171.94","173.90","174.99","171.35","198.99K","-1.58%"
"Jun 19, 2016","173.43","173.00","175.29","171.01","288.42K","0.87%"
"Jun 26, 2016","177.07","172.11","177.87","170.25","213.35K","2.10%"
"Jul 03, 2016","180.49","178.00","180.55","175.34","130.03K","1.93%"
"Jul 10, 2016","183.36","181.00","183.89","179.80","303.72K","1.59%"
"Jul 17, 2016","185.46","183.92","185.63","183.11","78.23K","1.15%"
"Jul 24, 2016","182.86","186.29","186.29","181.92","188.74K","-1.40%"
"Jul 31, 2016","184.90","183.49","185.27","179.98","135.56K","1.12%"
"Aug 07, 2016","183.87","185.39","185.39","182.93","65.20K","-0.56%"
"Aug 14, 2016","181.26","183.09","183.09","180.81","43.63K","-1.42%"
"Aug 21, 2016","182.46","181.77","182.85","180.95","50.57K","0.66%"
"Aug 28, 2016","183.81","182.00","185.00","181.47","55.99K","0.74%"
"Sep 04, 2016","181.02","185.30","185.30","180.84","82.42K","-1.52%"
"Sep 11, 2016","180.14","178.11","180.34","176.40","246.61K","-0.49%"
"Sep 18, 2016","182.31","181.33","182.86","180.33","116.59K","1.20%"
"Sep 25, 2016","181.92","181.57","182.41","179.62","214.56K","-0.21%"
"Oct 02, 2016","181.90","181.62","183.13","180.54","252.45K","-0.01%"
"Oct 09, 2016","183.49","181.99","184.00","180.78","332.20K","0.87%"
"Oct 16, 2016","185.39","182.53","185.39","182.29","166.39K","1.04%"
"Oct 23, 2016","184.52","186.07","186.96","183.35","123.13K","-0.47%"
"Oct 30, 2016","177.98","183.37","183.91","177.31","195.02K","-3.54%"
"Nov 06, 2016","187.86","180.47","189.30","176.58","174.10K","5.55%"
"Nov 13, 2016","194.76","190.61","195.04","189.48","341.51K","3.67%"
"Nov 20, 2016","197.03","194.54","197.86","193.87","138.13K","1.17%"
"Nov 27, 2016","194.59","195.87","197.92","193.81","192.78K","-1.24%"
"Dec 04, 2016","202.03","195.50","202.28","193.25","103.85K","3.82%"
"Dec 11, 2016","204.93","202.28","206.55","200.86","239.48K","1.44%"
"Dec 18, 2016","204.74","201.76","207.46","201.76","180.01K","-0.09%"
"Dec 25, 2016","201.49","205.32","207.00","201.04","535.80K","-1.59%"
"Jan 01, 2017","203.91","202.90","207.04","201.55","123.03K","1.20%"
"Jan 08, 2017","203.16","204.99","205.73","200.27","176.93K","-0.37%"
"Jan 15, 2017","201.70","202.69","203.35","200.30","186.38K","-0.72%"
"Jan 22, 2017","203.27","201.00","204.74","199.37","98.64K","0.78%"
"Jan 29, 2017","201.72","202.80","203.83","198.90","148.06K","-0.76%"
"Feb 05, 2017","205.85","202.60","206.60","202.22","120.39K","2.05%"
"Feb 12, 2017","209.14","206.69","210.46","206.33","184.25K","1.60%"
"Feb 19, 2017","211.65","210.55","213.64","209.98","133.73K","1.20%"
"Feb 26, 2017","214.09","212.59","216.43","211.41","93.07K","1.15%"
"Mar 05, 2017","211.12","212.71","213.47","210.89","122.30K","-1.39%"
"Mar 12, 2017","210.62","210.71","214.99","209.92","73.35K","-0.24%"
"Mar 19, 2017","206.70","212.55","212.55","205.01","88.54K","-1.86%"
"Mar 26, 2017","210.55","206.00","210.94","202.64","108.60K","1.86%"
"Apr 02, 2017","211.14","210.94","212.07","209.18","223.02K","0.28%"
"Apr 09, 2017","210.00","212.00","212.45","208.71","76.85K","-0.54%"
